Good ^jj+atrb+++=Good
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
official ^nn++++=official.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
tradition ^nn+nom+++=tradition,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
should ^md+nec+++=should
hang ^vb++++=hang
the ^ati++++=the
bedsheets ^nns+++??+=bedsheets
outside ^jjb++++=outside
so ^rb++++=so
the ^ati++++=the
villagers ^nns+nom+++=villagers
can ^md+pos+++=can
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
consummated ^vbd+++xvbn+=consummated.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Lego ^np+++??+=Lego
is ^vbz+bez+vrb++=is
the ^ati++++=the
perfect ^jj+atrb+++=perfect
metaphor ^nn++++=metaphor
for ^in++++=for
marital ^jj+atrb+++=marital
congress ^nns+nom+++=congress.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
pieces ^nns++++=pieces
that ^tht+rel+obj++=that
interlock ^nn++++=interlock
with ^in++++=with
a ^at++++=a
satisfying ^nn++++=satisfying
snap ^vb++++=snap.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
almost ^rb+hdg+++=almost
forgot ^vbd+vprv++xvbn+=forgot.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
sleeping ^vbg+++xvbgx+=sleeping,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ordered ^vbd+vsua++xvbnx+=ordered
room ^nn++++=room
service ^nn++++=service.
. ^zz++++=EXTRAWORD
Voil ^np+++??+=Voil
! ^zz++++=!
You ^pp2+pp2+++=You
thought ^vbd+++xvbn+=thought
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
food ^nn++++=food,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
quite ^rb++++=quite
busy ^jj++++=busy.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
tomorrow ^nr+tm+++=tomorrow,
, ^zz++++=EXTRAWORD
a ^at++++=a
tour ^nn++++=tour
of ^in++++=of
the ^ati++++=the
sites ^nns++++=sites
where ^wrb+who+++=where
Nikola ^np+++??+=Nikola
Tesla ^np+++??+=Tesla
lived ^vbd+++xvbn+=lived,
, ^zz++++=EXTRAWORD
worked ^j+++xvbn+=worked
and ^cc++++=and
slowly ^rb++++=slowly
went ^vbd+++xvbn+=went
crazy ^jj++++=crazy.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
coitus ^nn++++=coitus.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
act ^nn++++=act
surprised ^vbd+++xvbn+=surprised.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+aux++0=EXTRAWORD
clearly ^rb++++=clearly
marked ^vpsv++agls+xvbnx+=marked
on ^in++++=on
the ^ati++++=the
schedule ^nn++++=schedule.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
we ^pp1a+pp1+++=we
steam ^nn++++=steam
the ^ati++++=the
wrinkles ^nns++++=wrinkles
out ^rp+pl+++=out
of ^in++++=of
our ^pp$+pp1+++=our
wizard ^nn++++=wizard
robes ^nns++++=robes,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
make ^vb++++=make
vigorous ^jj++++=vigorous,
, ^zz++++=EXTRAWORD
socially ^rb++++=socially
sanctioned ^vbd+++xvbn+=sanctioned
love ^nn++++=love?
? ^zz++++=EXTRAWORD
Either ^dtx++++=Either
way ^nn++++=way,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
check ^vb+vprv+tht0++=check
something ^pn++++=something
off ^in+pl+++=off
my ^pp$+pp1+++=my
to ^to++++=to-do
- ^zz++++=EXTRAWORD
do ^vb+do+vrb++=EXTRAWORD
list ^nn++++=list.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
love ^nn++++=love
about ^in++++=about
Broadway ^np++++=Broadway
theater ^jjr++++=theater?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
so ^ql+emph+++=so
interactive ^jj++++=interactive.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+aux++0=EXTRAWORD
so ^ql++++=so
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
actors ^nns++++=actors.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
like ^in++++=like
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
in ^in++++=in
the ^ati++++=the
play ^nn++++=play.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
yell ^vb++++=yell,
, ^zz++++=EXTRAWORD
" ^zz++++="Harry,
harry ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
watch ^vb++++=watch
out ^rp+pl+++=out,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
looks ^nns++++=looks
right ^jj++++=right
at ^rb++++=at
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
not ^xnot++not++=not
just ^rb+emph+++=just
Harry ^vb++++=Harry,
, ^zz++++=EXTRAWORD
everyone ^pn++++=everyone
onstage ^nn+nom+++=onstage.
. ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
bit ^nn++++=bit
late ^jj++++=late,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
block ^vb++++=block
out ^rp+pl+++=out
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
evening ^nn++++=evening
for ^in++++=for
conjugal ^jj+atrb+++=conjugal
relations ^nns+nom+++=relations.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
we ^pp1a+pp1+++=we
shower ^nn++++=shower?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
during ^in+strn+++=during.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
how ^wrb+who+++=how
you ^pp2+pp2+++=you
fall ^vb++++=fall
and ^cc+phrs+++=and
break ^vb++++=break
a ^at++++=a
hip ^nn++++=hip.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
no ^at++++=no
can ^md+pos+++=can
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
miss ^npt++++=miss
tonight ^nr+tm+++=tonight,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
scheduled ^jj+++xvbn+=scheduled
until ^cs+sub+++=until
Thursday ^nr++++=Thursday
at ^in++++=at
6 ^zz++++=6
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
suggesting ^jj+atrb++xvbg+=suggesting
spontaneity ^nn+nom+++=spontaneity?
? ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
that ^cs+sub+++=that
we ^pp1a+pp1+++=we're
're ^vb+ber+aux++0=EXTRAWORD
married ^vpsv++agls+xvbnx+=married,
, ^zz++++=EXTRAWORD
s?x ^nn+++??+=s?x
can ^md+pos+++=can
occur ^vb++++=occur
at ^in++++=at
any ^dti++++=any
time ^nn++++=time?
? ^zz++++=EXTRAWORD
Like ^in+strn+++=Like,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
be ^vb+be+aux++=be
brushing ^vbg+++xvbgx+=brushing
our ^pp$+pp1+++=our
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
suddenly ^rb++++=suddenly
your ^pp$+pp2+++=your
minty ^nn+++??+=minty-fresh
- ^zz++++=EXTRAWORD
fresh ^jj+atrb+++=EXTRAWORD
tongue ^nn++++=tongue
is ^vbz+bez+vrb++=is
in ^in++++=in
my ^pp$+pp1+++=my
mouth ^nn++++=mouth?
? ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Mix ^vb++++=Mix
it ^pp3+it+++=it
up ^rp++++=up?
? ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Betty ^np++++=Betty
Crocker ^np+++??+=Crocker?
? ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
to ^to++++=to
take ^vbi++++=take
a ^at++++=a
shower ^nn++++=shower.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
that ^dt+dem+++=that
s?x ^nn+++??+=s?x
can ^md+pos+++=can
happen ^vb+++??+=happen
at ^in++++=at
any ^dti++++=any
time ^nn++++=time,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
have ^md"++pmd"++=have
to ^md+nec+++=to
be ^vbi++vrb++=be
ready ^jj++++=ready.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
probably ^rb++splt++=probably
live ^vb++++=live
under ^in++++=under
a ^at++++=a
waterfall ^nn++++=waterfall.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
thanks ^rb+dspt+++=thanks,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
still ^rb++++=still
gonna ^md+prd+++0=gonna
rinse ^vb++++=rinse
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
touched ^vbd+++xvbnx+=touched
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
stuff ^nn++++=stuff
in ^in++++=in
the ^ati++++=the
gift ^nn++++=gift
shop ^nn++++=shop.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
wrong ^jj++++=wrong.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
gonna ^md+prd+++0=gonna
say ^vb+vpub+tht0++=say
something ^pn++++=something.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
how ^wrb+who+whq++=how
will ^md+prd+++=will
everyone ^pn++++=everyone
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
the ^ati++++=the
smartest ^jjt+atrb+++=smartest
boy ^nn++++=boy
here ^rn+pl+++=here?
? ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
everything ^pn++++=everything
all ^abn++++=all
right ^jj++++=right?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
seem ^vb+seem+++=seem
testy ^nn+++??+=testy
this ^dt+dem+++=this
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
take ^vb++++=take
your ^pp$+pp2+++=your
word ^nn++++=word
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
test ^nn++++=test
for ^in++++=for
testy ^nn+++??+=testy.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
it ^pp3+it+++=it
possible ^jj++++=possible
that ^tht+jcmp+++=that
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
sexually ^rb++splt++=sexually
frustrated ^vpsv++agls+xvbnx+=frustrated?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
