Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
met ^vbd+++xvbnx+=met
her ^pp$+pp3+++=her
at ^in++++=at
Comic ^jj++++=Comic-Con,
- ^zz++++=EXTRAWORD
con ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
where ^wrb+who+++=where
saying ^nvbg+++xvbg+=saying
I ^pp1a+pp1+++=I
own ^ap++++=own
a ^at++++=a
comic ^jj+atrb+++=comic
bookstore ^nn+++??+=bookstore
is ^vbz+bez+vrb++=is
an ^at++++=an
actual ^jj+atrb+++=actual
pickup ^nn+++??+=pickup
line ^nn++++=line.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
really ^rb+emph+++=really.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She's
's ^vbz+bez+vrb++0=EXTRAWORD
horrible ^jj++++=horrible.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
wants ^vbz++++=wants
to ^to+vcmp+++=to
have ^vbi++++=have
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
puts ^vbz++++=puts
on ^rb+phrv+++=on
her ^pp3o+pp3+++=her
plus ^in++++=plus-size
- ^zz++++=EXTRAWORD
size ^nn++++=EXTRAWORD
Wonder ^nn++++=Wonder
Woman ^nn++++=Woman
costume ^nn++++=costume
and ^cc++++=and
shouts ^nns++++=shouts
who ^whp+rel+subj++=who
wants ^vbz++++=wants
to ^to+vcmp+++=to
take ^vbi++++=take
a ^at++++=a
ride ^nn++++=ride
in ^in++++=in
my ^pp$+pp1+++=my
invisible ^jj+atrb+++=invisible
plane ^nn++++=plane?
? ^zz++++=EXTRAWORD
