Hmm ^np+++??+=Hmm.
. ^zz++++=EXTRAWORD
Have ^vb+hv+vrb++=Haven't
n't ^xnot++not++0=EXTRAWORD
really ^rb+emph+++=really
thought ^nn+++xvbn+=thought
about ^in++++=about
it ^pp3+it+++=it
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
need ^vb++++=need
a ^at++++=a
baggie ^nn+++??+=baggie,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
just ^rb+emph+++=just
blasts ^nns++++=blasts
the ^ati++++=the
poop ^nn+++??+=poop
with ^in++++=with
his ^pp$+pp3+++=his
heat ^nn++++=heat
vision ^nn++++=vision.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
thought ^vprf+++xvbnx+=thought
about ^in++++=about
it ^pp3+it+++=it
a ^at++++=a
lot ^nn++++=lot.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay.
. ^zz++++=EXTRAWORD
Bye ^rb++++=Bye.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I-I
- ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
kissed ^vbd+++xvbn+=kissed
a ^rb++++=a
little ^rb"++++=little
at ^in++++=at
the ^ati++++=the
wedding ^nn++++=wedding,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
great ^jj+pred+++=great.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
really ^rb+emph+++=really
talked ^vbd+++xvbn+=talked
about ^in++++=about
it ^pp3+it+++=it
since ^in++++=since
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I-I
- ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
she ^pp3a+pp3+++=she
feels ^vbz+vprv+++=feels
about ^rb++++=about
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Seriously ^rb+cnj+++=Seriously,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
should ^md+nec+++=should
ask ^vb++++=ask
her ^pp$+pp3+++=her
out ^rp+pl+++=out?
? ^zz++++=EXTRAWORD
Thanks ^rb+dspt+++=Thanks.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
real ^rb+emph+++=real
good ^jj+atrb+++=good
pal ^nn++++=pal.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
asked ^j+++xvbn+=asked
Denise ^np+++??+=Denise
out ^rp+pl+++=out
on ^in++++=on
a ^at++++=a
date ^nn++++=date,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
yes ^uh++++=yes.
. ^zz++++=EXTRAWORD
Sorry ^uh++++=Sorry.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
