Morning ^nn++++=Morning.
. ^zz++++=EXTRAWORD
Um ^uh++++=Um,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
me ^pp1o+pp1+++=me
just ^rb+emph+++=just
have ^vb+hv+vrb++=have
some ^dti++++=some
coffee ^nn++++=coffee
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
ll ^nn+++??+=ll
have ^vb+hv+vrb++=have
the ^ati++++=the
strength ^nn++++=strength
to ^to++++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
how ^wrb+who+++=how
much ^rb++++=much
I ^pp1a+pp1+++=I
won ^vbd+++xvbnx+=won
t ^zz++++=t
be ^vb+be+aux++=be
doing ^vbg+++xvbgx+=doing
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
( ^zz++++=(Phone
phone ^nn++++=EXTRAWORD
rings ^nns++++=rings)
) ^zz++++=EXTRAWORD
Hello ^rb+dspt+++=Hello?
? ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
buddy ^np++++=buddy.
. ^zz++++=EXTRAWORD
Good ^jj++++=Good
to ^to+jcmp+++=to
hear ^vbi+vprv+tht0++=hear
your ^pp$+pp2+++=your
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
d ^zz++++=d
love ^vb++++=love
to ^to+vcmp+++=to.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
just ^rb+emph+++=just
about ^md"++pmd"++=about
to ^md+prd+++=to
do ^vb++++=do
yoga ^nn+++??+=yoga
with ^in++++=with
Penny ^nn++++=Penny.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
God ^nn++++=God,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
okay ^rb+dspt+++=okay?
? ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ll ^nn+++??+=ll,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ll ^nn+++??+=ll
come ^vprf+++xvbn+=come
get ^vb++++=get
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
s ^zz++++=s
the ^ati++++=the
address ^nns+nom+++=address?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
got ^vbd+++xvbnx+=got
all ^abn++++=all
of ^in++++=of
his ^pp$+pp3+++=his
stuff ^vb++++=stuff
stolen ^vbd+++xvbn+=stolen.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay.
. ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
hang ^nn++++=hang
tight ^jj++++=tight.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want
me ^pp1o+pp1+++=me
to ^to++++=to
bring ^vbi++++=bring
anything ^pn++++=anything?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ll ^nn+++??+=ll
be ^vb+be+vrb++=be
there ^rn+pl+++=there
as ^cs+sub+++=as
soon ^rb+tm+++=soon
as ^ql++++=as
I ^pp1a+pp1+++=I
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
s ^zz++++=s
fine ^jj++++=fine,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
s ^zz++++=s
just ^rb+emph+++=just
a ^rb++++=a
little ^rb"++++=little
rattled ^vbd+++xvbn+=rattled.
. ^zz++++=EXTRAWORD
Feel ^vb+vprv+++=Feel
like ^in++++=like
driving ^xvbg+++xvbg+=driving
to ^in++++=to
Arizona ^np++++=Arizona
with ^in++++=with
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
right ^jj++++=right.
. ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right,
, ^zz++++=EXTRAWORD
fine ^jj++++=fine.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
of ^in++++=of
a ^at++++=a
reason ^nn++++=reason
I ^pp1a+pp1+++=I
shouldn ^nn+++??+=shouldn
t ^zz++++=t
invite ^vb++++=invite
Amy ^np+++??+=Amy
to ^to++++=to
come ^vbi++++=come
with ^in++++=with
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
didn ^nn+++??+=didn
t ^zz++++=t
even ^rb++++=even
try ^vb++++=try.
. ^zz++++=EXTRAWORD
Thanks ^rb+dspt+++=Thanks
again ^rb+tm+++=again
for ^in++++=for
coming ^xvbg+++xvbg+=coming.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
hours ^nns++++=hours
was ^vbd+bedz+aux++=was
gonna ^md+prd+++0=gonna
be ^vb+be+vrb++=be
a ^at++++=a
long ^rb++++=long
drive ^nn++++=drive
by ^in++++=by
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
time ^nn++++=time
s ^zz++++=s
gonna ^md+prd+++0=gonna
fly ^vb++++=fly
by ^in+strn+++=by.
. ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
tell ^vb++++=tell
us ^pp1o+pp1+++=us
about ^in++++=about
your ^pp$+pp2+++=your
trip ^nn++++=trip.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
d ^zz++++=d
you ^pp2+pp2+++=you
go ^vb++++=go?
? ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
were ^vbd+bed+vrb++=were
they ^pp3a+pp3+++=they?
? ^zz++++=EXTRAWORD
Hang ^nn++++=Hang
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
travelled ^vbd+++xvbn+=travelled
across ^in+pl+++=across
the ^ati++++=the
entire ^jjb+atrb+++=entire
country ^nn++++=country
and ^cc++++=and
never ^rb++++=never
left ^vbd+++xvbn+=left
a ^at++++=a
train ^nn++++=train
station ^nn+nom+++=station?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
sorry ^uh++++=sorry,
, ^zz++++=EXTRAWORD
so ^ql++++=so
you ^pp2+pp2+++=you
never ^rb++++=never
went ^vbd+++xvbn+=went
outside ^jjb++++=outside?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
care ^nn++++=care.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
s ^zz++++=s
the ^ati++++=the
big ^jj+atrb+++=big
deal ^nn++++=deal?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
true ^jj++++=true.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
a ^at++++=a
god ^nn++++=god
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
tell ^vb++++=tell
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
anyone ^pn++++=anyone
that ^cs+sub+++=that
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
going ^vbg+++xvbgx+=going
away ^rp+pl+++=away
on ^in++++=on
a ^at++++=a
train ^nn++++=train
by ^in++++=by
yourself ^ppl+pp2+++=yourself
across ^in+pl+++=across
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
