Wait ^vb++++=Wait
till ^cs+sub+++=till
you ^pp2+pp2+++=you
see ^vb+vprv+tht0++=see
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
a ^at++++=a
Stephen ^np++++=Stephen
Hawking ^np+++??+=Hawking
lecture ^nn++++=lecture
from ^in++++=from
Mit ^&fw++++=MIT
in ^in++++=in
1974 ^cd+date+++=1974.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
a ^at++++=a
creepy ^nn+++??+=creepy
computer ^nn+nom+++=computer
voice ^nn++++=voice
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
right ^jj++++=right,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
grandmother ^nn+nom+++=grandmother
back ^jjb++++=back
in ^in++++=in
town ^nn++++=town?
? ^zz++++=EXTRAWORD
Hang ^nn++++=Hang
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
really ^rb+emph+++=really
is ^vbz+bez+vrb++=is
a ^at++++=a
lady ^nn++++=lady
here ^rn+pl+++=here?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
want ^vb++++=want
us ^pp1o+pp1+++=us
out ^rp+pl+++=out
because ^cs+cos+++=because
you ^pp2+pp2+++=you
re ^in++++=re
anticipating ^xvbg+++xvbg+=anticipating
coitus ^nn++++=coitus?
? ^zz++++=EXTRAWORD
So ^ql++++=So
she ^pp3a+pp3+++=she
s ^zz++++=s
available ^jj++++=available
for ^in++++=for
coitus ^nn++++=coitus?
? ^zz++++=EXTRAWORD
Enchante ^np+++??+=Enchante
Madamoiselle ^np+++??+=Madamoiselle.
. ^zz++++=EXTRAWORD
Howard ^np++++=Howard
Wolowitz ^np+++??+=Wolowitz,
, ^zz++++=EXTRAWORD
Cal ^np+++??+=Cal-Tech
- ^zz++++=EXTRAWORD
tech ^np++++=EXTRAWORD
department ^nn+nom+++=department
of ^in++++=of
Applied ^jj+atrb++xvbn+=Applied
Physics ^nn++++=Physics.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
be ^vb+be+vrb++=be
familiar ^jj+pred+++=familiar
with ^in++++=with
some ^dti++++=some
of ^in++++=of
my ^pp$+pp1+++=my
work ^nn++++=work,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
currently ^rb++++=currently
orbiting ^jj+++xvbg+=orbiting
Jupiter ^np+++??+=Jupiter
s ^zz++++=s
largest ^jjt++++=largest
moon ^np++++=moon
taking ^vwbg+++xvbg+=taking
high ^jj++++=high-resolution
- ^zz++++=EXTRAWORD
resolution ^nn+nom+++=EXTRAWORD
digital ^jj+atrb+++=digital
photographs ^nns++++=photographs.
. ^zz++++=EXTRAWORD
Bon ^np+++??+=Bon
douche ^nn++++=douche.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
French ^jj++++=French
for ^in++++=for
good ^jj+atrb+++=good
shower ^nn++++=shower.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
a ^at++++=a
sentiment ^nn+nom+++=sentiment
I ^pp1a+pp1+++=I
can ^md+pos+++=can
express ^jjb++++=express
in ^in++++=in
six ^cd++++=six
languages ^nns+nom+++=languages.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See-ka-tong-guay-jow.
- ^zz++++=EXTRAWORD
ka ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
tong ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
guay ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
jow ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
speaks ^vbz++++=speaks
English ^nn++++=English,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
just ^rb+emph+++=just
can ^md+pos+++=can
t ^zz++++=t
speak ^vb++++=speak
to ^in++++=to
women ^nns++++=women.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
s ^zz++++=s
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
a ^at++++=a
nerd ^nn+++??+=nerd.
. ^zz++++=EXTRAWORD
Juice ^nn++++=Juice
box ^nn++++=box?
? ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
my ^pp$+pp1+++=my
favourite ^jjb+atrb+++=favourite
places ^nns++++=places
to ^to++++=to
kick ^vbi++++=kick
back ^jjb++++=back
after ^in++++=after
a ^at++++=a
quest ^nn++++=quest,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
a ^at++++=a
great ^jj+atrb+++=great
house ^npl++++=house
ale ^nn++++=ale.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ve ^nn+++??+=ve
had ^vb+hv+vrb++=had
him ^pp3o+pp3+++=him
since ^in++++=since
level ^nn++++=level
ten ^cd++++=ten.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
name ^nn++++=name
is ^vbz+bez+vrb++=is
Buttons ^nns++++=Buttons.
. ^zz++++=EXTRAWORD
Anyway ^rb+cnj+++=Anyway,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had
your ^pp$+pp2+++=your
own ^ap++++=own
game ^nn++++=game
character ^nn+nom+++=character
we ^pp1a+pp1+++=we
could ^md+pos+++=could
hang ^vb++++=hang
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
go ^vb++++=go
on ^in++++=on
a ^at++++=a
quest ^nn++++=quest.
. ^zz++++=EXTRAWORD
So ^ql++++=So
you ^pp2+pp2+++=you
ll ^nn+++??+=ll
think ^vb+vprv+++=think
about ^in++++=about
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Turn ^vb++++=Turn
left ^vbd+++xvbn+=left
on ^rp++++=on
Lake ^npl++++=Lake
Street ^nn++++=Street
and ^cc++++=and
head ^jjb++++=head
up ^in+cmpx+++=up
to ^in++++=to
Colorado ^np++++=Colorado.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
a ^at++++=a
wonderful ^jj++++=wonderful
little ^ap++++=little
sushi ^nn+++??+=sushi
bar ^nn++++=bar
that ^tht+rel+subj++=that
has ^vbz+hvz+vrb++=has
karaoke ^nn+++??+=karaoke.
. ^zz++++=EXTRAWORD
Baby ^nn++++=Baby,
, ^zz++++=EXTRAWORD
baby ^nn++++=baby
don ^npt++++=don
t ^zz++++=t
get ^vb++++=get
hooked ^vbd+++xvbn+=hooked
on ^rp++++=on
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
baby ^nn++++=baby,
, ^zz++++=EXTRAWORD
baby ^nn++++=baby
don ^npt++++=don
t ^zz++++=t
get ^vb++++=get
hooked ^vbd+++xvbn+=hooked
on ^rp++++=on
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
does ^vbz+doz+aux++=does
it ^pp3+it+++=it
have ^vb+hv+vrb++=have
peanut ^jj+atrb++??+=peanut
oil ^nn++++=oil?
? ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
I ^pp1a+pp1+++=I
look ^vb++++=look
puffy ^vb++++=puffy?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
puffy ^vb++++=puffy.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
look ^vb++++=look
at ^rb++++=at
my ^pp$+pp1+++=my
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
re ^in++++=re
like ^in++++=like
Vienna ^np++++=Vienna
sausages ^nns+nom+++=sausages.
. ^zz++++=EXTRAWORD
Haven ^npl++++=Haven
t ^zz++++=t
you ^pp2+pp2+++=you
ever ^rb++++=ever
been ^vprf+ben+aux+xvbn+=been
told ^vpsv++agls+xvbnx+=told
how ^wrb+who+whcl++=how
beautiful ^jj++++=beautiful
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
in ^in++++=in
flawless ^jj++++=flawless
Russian ^jj++++=Russian?
? ^zz++++=EXTRAWORD
Get ^vb++++=Get
used ^vbd+++xvbn+=used
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
can ^md+pos+++=can
t ^zz++++=t
talk ^nn++++=talk
to ^in++++=to
attractive ^jj+atrb+++=attractive
women ^nns++++=women,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
in ^in++++=in
your ^pp$+pp2+++=your
case ^nn++++=case
a ^at++++=a
cheesecake ^np++++=cheesecake
scented ^vbd+++xvbn+=scented
Goddess ^nns+nom++??+=Goddess!
! ^zz++++=EXTRAWORD
One ^pn++++=One.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
don ^npt++++=don
t ^zz++++=t
have ^vb+hv+vrb++=have
a ^at++++=a
problem ^nn++++=problem
with ^in++++=with
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
does ^vbz+doz+vrb++=does
he ^pp3a+pp3+++=he
fly ^vb++++=fly
at ^rb++++=at
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Grab ^nn++++=Grab
a ^at++++=a
napkin ^nn++++=napkin,
, ^zz++++=EXTRAWORD
homie ^nn+++??+=homie.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
just ^rb+emph+++=just
got ^vbd+++xvbn+=got
served ^vbd+++xvbn+=served.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
s ^zz++++=s
his ^pp$+pp3+++=his
problem ^nn++++=problem?
? ^zz++++=EXTRAWORD
Been ^vb+j+vrb+xvbn+=Been
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Really ^rb+emph+++=Really?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You?
? ^zz++++=EXTRAWORD
Rajesh ^np+++??+=Rajesh
Koothrapali ^np+++??+=Koothrapali,
, ^zz++++=EXTRAWORD
spoke ^j+++xvbn+=spoke
to ^in++++=to
Penny ^nn++++=Penny?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hugged ^vbd+++xvbnx+=hugged
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
did ^vbd+dod+vrb++=did
she ^pp3a+pp3+++=she
hug ^nn++++=hug
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
perfume ^nn++++=perfume
I ^pp1a+pp1+++=I
smell ^nn++++=smell?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
of ^in++++=of
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
instructions ^nns+nom+++=instructions
are ^vb+ber+vrb++=are
a ^at++++=a
pictographic ^jj+atrb+++=pictographic
representation ^nn+nom+++=representation
of ^in++++=of
the ^ati++++=the
least ^rbt++++=least
imaginative ^jj+atrb+++=imaginative
way ^nn++++=way
to ^to++++=to
assemble ^vbi++++=assemble
these ^dt+dem+++=these
components ^nns++++=components.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
right ^nn++++=right
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
Sweden ^np++++=Sweden
has ^vbz+hvz+vrb++=has
no ^at++++=no
space ^nn++++=space
program ^nn+++??+=program.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
point ^nn++++=point,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
you ^pp2+pp2+++=you
gonna ^md+prd+++0=gonna
cool ^jj++++=cool
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
How ^wrb+who+++=How
about ^in++++=about
liquid ^jj+atrb+++=liquid
coolant ^nn+nom+++=coolant?
? ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
a ^rb++++=a
little ^rb"++++=little
aquarium ^nn++++=aquarium
pump ^nn++++=pump
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
run ^j+++xvbn+=run
some ^dti++++=some
quarter ^nn++++=quarter
inch ^nn++++=inch
Pvc ^np+++??+=PVC
Hold ^nn++++=Hold
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
honey ^nn++++=honey,
, ^zz++++=EXTRAWORD
men ^nns++++=men
at ^rb++++=at
work ^nn++++=work.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Pvc ^np+++??+=PVC
comes ^vbz++++=comes
down ^in++++=down
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
a ^rb++++=a
little ^rb"++++=little
corrugated ^jj+atrb+++=corrugated
sheet ^nn++++=sheet
metal ^nn++++=metal
as ^in++++=as
a ^at++++=a
radiator ^nn++++=radiator
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Perfect ^jj++++=Perfect,
, ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
don ^npt++++=don
t ^zz++++=t
you ^pp2+pp2+++=you
and ^cc++++=and
Sheldon ^np++++=Sheldon
go ^vb++++=go
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
junk ^nn++++=junk
yard ^nn++++=yard
and ^cc++++=and
pick ^vb++++=pick
up ^rp++++=up
about ^in++++=about
six ^cd++++=six
square ^jj+atrb+++=square
metres ^nns++++=metres
of ^in++++=of
scrap ^nn++++=scrap
aluminium ^nn++++=aluminium,
, ^zz++++=EXTRAWORD
Raj ^np+++??+=Raj
and ^cc++++=and
I ^pp1a+pp1+++=I
will ^md+prd+++=will
run ^vb+++xvbn+=run
down ^rb+phrv+++=down
to ^in++++=to
my ^pp$+pp1+++=my
lab ^nn++++=lab
and ^cc++++=and
get ^vb++++=get
the ^ati++++=the
oxy ^nn+++??+=oxy-acetaline
- ^zz++++=EXTRAWORD
acetaline ^nn+++??+=EXTRAWORD
torch ^nn++++=torch.
. ^zz++++=EXTRAWORD
Done ^xvbn+++xvbn+=Done.
. ^zz++++=EXTRAWORD
Alright ^rb+dspt++??+=Alright,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
a ^ap++++=a
few ^ap"++++=few
more ^ql++++=more
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
. ^zz++++=.
here ^rn+pl+++=here
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Gates ^nns++++=Gates
of ^in++++=of
Elzebub ^np+++??+=Elzebub.
. ^zz++++=EXTRAWORD
Stay ^vb++++=Stay
frosty ^nn+++??+=frosty,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
s ^zz++++=s
a ^at++++=a
horde ^nn++++=horde
of ^in++++=of
armed ^xvbn+++xvbn+=armed
goblins ^nns+++??+=goblins
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side
of ^in++++=of
that ^dt+dem+++=that
gate ^nn++++=gate
guarding ^vwbg+++xvbg+=guarding
the ^ati++++=the
Sword ^nn++++=Sword
of ^in++++=of
Azeroth ^np+++??+=Azeroth.
. ^zz++++=EXTRAWORD
Raj ^np+++??+=Raj,
, ^zz++++=EXTRAWORD
blow ^nn++++=blow
up ^rp++++=up
the ^ati++++=the
gates ^nns++++=gates.
. ^zz++++=EXTRAWORD
Don ^npt++++=Don
t ^zz++++=t
just ^rb+emph+++=just
stand ^vb++++=stand
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
slash ^nn++++=slash
and ^cc++++=and
move ^nn++++=move,
, ^zz++++=EXTRAWORD
slash ^nn++++=slash
