Ha ^uh++++=Ha,
, ^zz++++=EXTRAWORD
ha ^uh++++=ha,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called
your ^pp$+pp2+++=your
bluff ^nn++++=bluff.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
great ^jj++++=great.
. ^zz++++=EXTRAWORD
Meryl ^np+++??+=Meryl
Streep ^np+++??+=Streep
and ^cc++++=and
Cher ^np+++??+=Cher?
? ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+vrb++0=EXTRAWORD
not ^xnot++not++=not;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
just ^rb+emph+++=just
posted ^vbd+++xvbn+=posted
a ^at++++=a
picture ^nn++++=picture
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
Statue ^nn++++=Statue
of ^in++++=of
Liberty ^nn++++=Liberty.
. ^zz++++=EXTRAWORD
Lego ^np+++??+=Lego.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
let ^vb++++0=let's
us ^pp1o+pp1+++=EXTRAWORD
go ^vb++++=go
into ^in++++=into
our ^pp$+pp1+++=our
apartment ^nn+nom+++=apartment.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
lock ^vb++++=lock
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
call ^vb++++=call
the ^ati++++=the
pol. ^nn+++??+=pol...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
