Good ^jj+atrb+++=Good
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
husband ^nn++++=husband.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+tht0++=believe
we ^pp1a+pp1+++=we're
're ^vb+ber+aux++0=EXTRAWORD
actually ^rb+amp+splt++=actually
married ^vpsv++agls+xvbnx+=married.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think
that ^tht+vcmp+++=that
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
appropriate ^jj++++=appropriate,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
where ^wrb+who+++=where
we ^pp1a+pp1+++=we're
're ^vb+ber+aux++0=EXTRAWORD
starting ^vbg+++xvbgx+=starting
our ^pp$+pp1+++=our
honeymoon ^nn++++=honeymoon.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
sound ^nn++++=sound
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
making ^vbg+++xvbgx+=making.
. ^zz++++=EXTRAWORD
Really ^rb+emph+++=Really?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
our ^pp$+pp1+++=our
honeymoon ^nn++++=honeymoon.
. ^zz++++=EXTRAWORD
Harry ^np++++=Harry
Potter ^nn++++=Potter
play ^nn++++=play,
, ^zz++++=EXTRAWORD
parts ^nns++++=parts
one ^cd1++++=one
and ^cc++++=and
two ^cd++++=two.
. ^zz++++=EXTRAWORD
Really ^rb+cnj+++=Really,
, ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
want ^vb++++=want
to ^to+vcmp+++=to
do ^vbi++++=do
it ^pp3+it+++=it
again ^rb+tm+++=again?
? ^zz++++=EXTRAWORD
Socially ^rb++++=Socially
sanc ^nn+++??+=sanc-Oh,
- ^zz++++=EXTRAWORD
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
wow ^nn++++=wow.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
right ^jj+pred+++=right
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh-huh.
- ^zz++++=EXTRAWORD
huh ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh-huh.
- ^zz++++=EXTRAWORD
huh ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
sounding ^xvbg+++xvbg+=sounding
redundant ^jj++++=redundant,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh-huh.
- ^zz++++=EXTRAWORD
huh ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
jet ^nn++++=jet-laggy.
- ^zz++++=EXTRAWORD
laggy ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
we ^pp1a+pp1+++=we
can ^md+pos+++=can
revisit ^vb++++=revisit
this ^dt+dem+++=this
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
we ^pp1a+pp1+++=we
really ^rb+emph+++=really
have ^md"++pmd"++=have
to ^md+nec+++=to
do ^vb++++=do
this ^dt+dem+++=this
on ^in++++=on
a ^at++++=a
schedule ^nn++++=schedule?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I-I
- ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
guess ^vb++++=guess,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah.
. ^zz++++=EXTRAWORD
Really ^rb+emph+++=Really?
? ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
it ^pp3+it+++=it
be ^vb+be+vrb++=be
so ^ql+emph+++=so
bad ^jj++++=bad
to ^to+jcmp+++=to
mix ^vbi++++=mix
it ^pp3+it+++=it
up ^rp++++=up
a ^rb++++=a
little ^rb"++++=little?
? ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
going ^vbg+++xvbg+=going?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
worry ^vb+vprv+++=worry
about ^in++++=about
s?x ^nn+++??+=s?x
happening ^vwbg+++xvbg+=happening
tonight ^nr+tm+++=tonight.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
let ^vb+++xvbn+=let
it ^pp3+it+++=it
go ^vb++++=go.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
testy ^nn+++??+=testy.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
testy ^nn+++??+=testy.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
talk ^vb++++=talk
to ^in++++=to
me ^pp1o+pp1+++=me
about ^in++++=about
my ^pp$+pp1+++=my
brain ^nn++++=brain.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^at++++=a
neurobiologist ^nn+nom+++=neurobiologist.
. ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
everybody ^pn++++=everybody's
's ^vbz+bez+aux++0=EXTRAWORD
listening ^vbg+++xvbgx+=listening.
. ^zz++++=EXTRAWORD
I-i ^np+++??+=I-I'm
'm ^vb+bem+aux++0=EXTRAWORD
walking ^vbg+++xvbgx+=walking
away ^rb+phrv+++=away
from ^in+ppvb+++=from
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
A-are ^np+++??+=A-Aren't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
gonna ^md+prd+++0=gonna
eat ^vb++++=eat
one ^pn++++=one?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
really ^rb+emph+++=really
hungry ^jj++++=hungry.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Sure ^jj++++=Sure.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
put ^vbd+++xvbn+=put
those ^dt+dem+++=those
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
would ^md+prd+++=would
I ^pp1a+pp1+++=I
find ^vb+vprv+++=find
a ^at++++=a
longshoreman ^nn+nom+++=longshoreman?
? ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
never ^rb++++=never
be ^vb+be+vrb++=be
with ^in++++=with
anybody ^pn++++=anybody
but ^cc++++=but
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How's
's ^vbz+bez+vrb++0=EXTRAWORD
this ^dt+dem+++=this
for ^in++++=for
a ^at++++=a
compromise ^nn++++=compromise?
? ^zz++++=EXTRAWORD
Make ^vb++++=Make
all ^rb++++=all
the ^ati++++=the
schedules ^nns++++=schedules
you ^pp2+pp2+++=you
want ^vb++++=want,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me
about ^rb++++=about
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
the ^ati++++=the
generation ^nn+nom+++=generation
of ^in++++=of
true ^jj+atrb+++=true
random ^jj+atrb+++=random
numbers ^nns+nom+++=numbers
remains ^vbz++++=remains
an ^at++++=an
unsolved ^jj+atrb+++=unsolved
problem ^nn++++=problem
in ^in++++=in
computer ^nn+nom+++=computer
science ^nn+nom+++=science.
. ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
are ^vb+ber+aux++=are
we ^pp1a+pp1+++=we
going ^vbg+++xvbg+=going?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
good ^jj+atrb+++=good
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
like ^in++++=like
on ^in++++=on
Tv ^nn++++=TV,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
like ^in++++=like
my ^pp$+pp1+++=my
parents ^nns++++=parents.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
everybody ^pn++++=everybody
gifts ^nns++++=gifts.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
how ^wrb+who+++=how
you ^pp2+pp2+++=you
write ^vb++++=write
a ^at++++=a
thank ^vb++++=thank
you ^pp2+pp2+++=you
card ^nn++++=card.
. ^zz++++=EXTRAWORD
" ^zz++++="Dear
dear ^uh++++=EXTRAWORD
Aunt ^nn++++=Aunt
Helen ^np++++=Helen,
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you
so ^ql++++=so
much ^ap++++=much
for ^in++++=for
the ^ati++++=the
lovely ^jj+atrb+++=lovely
place ^nn++++=place
setting ^vwbg+++xvbg+=setting.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
my ^pp$+pp1+++=my
handwriting ^nn++++=handwriting
looks ^vbz++++=looks
strained ^vwbn+++xvbn+=strained,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
because ^cs+cos+++=because
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
16 ^cd++++=16
th ^zz++++=th
thank ^vb++++=thank
you ^pp2+pp2+++=you
card ^nn++++=card
Amy ^np+++??+=Amy
has ^vbz+hvz+aux++=has
forced ^vprf+++xvbnx+=forced
me ^pp1o+pp1+++=me
to ^to++++=to
write ^vbi++++=write.
. ^zz++++=EXTRAWORD
The ^ati++++=The
muscles ^nns++++=muscles
in ^in++++=in
my ^pp$+pp1+++=my
wrist ^nn++++=wrist
are ^vb+ber+aux++=are
cramping ^vbg+++xvbgx+=cramping
as ^ql++++=as
I ^pp1a+pp1+++=I
struggle ^vb++++=struggle
to ^to+vcmp+++=to
finish ^vbi++++=finish
this ^dt+dem+++=this
sentence ^nn+nom+++=sentence.
. ^zz++++=EXTRAWORD
Ow ^np+++??+=Ow,
, ^zz++++=EXTRAWORD
ow ^nn+++??+=ow,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
Love ^nn++++=Love,
, ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
one ^cd1++++=one
is ^vbz+bez+vrb++=is
from ^in++++=from
Leonard ^np++++=Leonard
and ^cc++++=and
Penny ^nn++++=Penny.
. ^zz++++=EXTRAWORD
Aw ^uh++++=Aw.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
perfect ^jj+atrb+++=perfect
gift ^nn++++=gift
for ^in++++=for
the ^ati++++=the
perfect ^jj+atrb+++=perfect
couple ^nn++++=couple."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder
what ^wdt+who+++=what
it ^pp3+it+++=it
could ^md+pos+++=could
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Isn't
n't ^xnot++not++0=EXTRAWORD
this ^dt+dem+++=this
nice ^jj++++=nice?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's,
's, ^nn+++??+=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
one ^pn++++=one
of ^in++++=of
those. ^nn+++??+=those...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Nope ^np+++??+=Nope,
, ^zz++++=EXTRAWORD
does ^vbz+doz+aux++=doesn't
