Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
s ^zz++++=s
understandable ^jj++++=understandable.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
forgot ^vbd+vprv++xvbn+=forgot.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
called ^vbd+++xvbn+=called
happy ^jj++++=happy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
not ^xnot++not++=not
saying ^vbg+++xvbg+=saying
anything ^pn++++=anything
bad ^jj++++=bad.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
in ^in++++=in
love ^nn++++=love
with ^in++++=with
her ^pp$+pp3+++=her
captor ^nn++++=captor
and ^cc++++=and
somehow ^rb++++=somehow
managed ^vbd+++xvbn+=managed
to ^to+vcmp+++=to
escape ^vbi++++=escape
from ^in++++=from
his ^pp$+pp3+++=his
dark ^nn++++=dark
and ^cc++++=and
crazy ^jj+atrb+++=crazy
dungeon ^nn++++=dungeon.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
on ^rp++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
not ^xnot++not++=not
taking ^jj+atrb++xvbg+=taking
sides ^nns++++=sides.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
like ^in++++=like
our ^pp$+pp1+++=our
wedding ^nn++++=wedding
beautiful ^jj++++=beautiful.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
ll ^nn+++??+=ll
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
beautiful ^jj+pred+++=beautiful
in ^in++++=in
the ^ati++++=the
comment ^nn+nom+++=comment
section ^nn+nom+++=section.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
s ^zz++++=s
gonna ^md+prd+++0=gonna
be ^vb+be+vrb++=be
okay ^rb+dspt+++=okay.
. ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right,
, ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard,
, ^zz++++=EXTRAWORD
hang ^nn++++=hang
in ^in++++=in
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Talk ^nn++++=Talk
to ^in++++=to
you ^pp2+pp2+++=you
tomorrow ^nr+tm+++=tomorrow.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
a ^at++++=a
mess ^nn++++=mess.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had
a ^at++++=a
huge ^jj+atrb+++=huge
fight ^nn++++=fight
in ^in++++=in
Vegas ^np++++=Vegas.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Sounds ^nns++++=Sounds
pretty ^rb++++=pretty
bad ^jj++++=bad.
. ^zz++++=EXTRAWORD
Penny ^nn++++=Penny
s ^zz++++=s
back ^jjb++++=back
in ^in++++=in
her ^pp$+pp3+++=her
apartment ^nn+nom+++=apartment
all ^rb++++=all
by ^in++++=by
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard
asked ^vbd+vsua++xvbn+=asked
me ^pp1o+pp1+++=me
to ^to++++=to
keep ^vbi++++=keep
it ^pp3+it+++=it
