Microbiology ^np+++??+=Microbiology.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
understand ^vb+vprv+++=understand.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
studying ^vwbg+++xvbg+=studying
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
sure ^jj++++=sure?
? ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
in ^in++++=in
the ^ati++++=the
bedroom ^nn++++=bedroom
or ^cc++++=or
like ^in++++=like
Dungeons ^np+++??+=Dungeons
and ^cc++++=and
Dragons ^np+++??+=Dragons?
? ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
really ^rb+emph+++=really.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
use ^nn++++=use
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
like ^in++++=like
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
A ^at++++=A
puppy ^nn+++??+=puppy
once ^rb+tm+++=once
bit ^nn++++=bit
my ^pp$+pp1+++=my
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Are ^vb+ber+aux++=Are
you ^pp2+pp2+++=you
going ^vbg+++xvbg+=going
to ^in++++=to
answer ^nn++++=answer
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
you ^pp2+pp2+++=you
feel ^vb+vprv+++=feel.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^nn++++=mother
makes ^vbz++++=makes
me ^pp1o+pp1+++=me
crazy ^jj++++=crazy.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah?
? ^zz++++=EXTRAWORD
Does ^vbz+doz+vrb++=Does
your ^pp$+pp2+++=your
mother ^nn++++=mother
call ^vb++++=call
you ^pp2+pp2+++=you
every ^at++++=every
day ^nn++++=day
at ^rb++++=at
work ^nn++++=work
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
ve ^nn+++??+=ve
had ^vb+hv+vrb++=had
a ^at++++=a
healthy ^jj+atrb+++=healthy
lunch ^nn++++=lunch?
? ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
does ^vbz+doz+aux++=does
she ^pp3a+pp3+++=she
lay ^vbd+++xvbnx+=lay
out ^rb+phrv+++=out
your ^pp$+pp2+++=your
clothes ^nns++++=clothes
for ^in++++=for
you ^pp2+pp2+++=you
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
like ^in++++=like
you ^pp2+pp2+++=you
re ^in++++=re
nine ^cd++++=nine
years ^nns++++=years
old ^jj++++=old?
? ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
the ^ati++++=the
sad ^jj+atrb+++=sad
part ^nn++++=part.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
s ^zz++++=s
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
couldn ^nn+++??+=couldn
t ^zz++++=t
ride ^vb++++=ride
a ^at++++=a
bicycle ^nn++++=bicycle
because ^cs+cos+++=because
my ^pp$+pp1+++=my
mother ^nn++++=mother
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
I ^pp1a+pp1+++=I
d ^zz++++=d
hit ^vbd+++xvbn+=hit
a ^at++++=a
bump ^nn++++=bump
and ^cc++++=and
lose ^vb++++=lose
my ^pp$+pp1+++=my
virginity ^nn+nom+++=virginity.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
on ^in++++=on
a ^at++++=a
bicycle ^nn++++=bicycle.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
Camry ^np+++??+=Camry.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
d ^zz++++=d
love ^nn++++=love
some ^dti++++=some.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why?
? ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
come ^vb++++=come
to ^in++++=to
Sunday ^nr++++=Sunday
dinner ^nn++++=dinner
at ^in++++=at
my ^pp$+pp1+++=my
house ^nn++++=house
wearing ^vwbg+++xvbg+=wearing
a ^at++++=a
yarmulke ^nn+++??+=yarmulke.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
really ^rb+emph+++=really
get ^vb++++=get
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
I ^pp1a+pp1+++=I
ask ^vb++++=ask
you ^pp2+pp2+++=you
a ^at++++=a
question ^nn+nom+++=question?
? ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
going ^vbg+++xvbgx+=going?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
so ^rb+emph+++=so
funny ^jj++++=funny.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
like ^in++++=like
a ^at++++=a
stand ^vb++++=stand-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
comedian ^nn++++=comedian.
. ^zz++++=EXTRAWORD
Actually ^rb+cnj+++=Actually,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
them ^pp3o+pp3+++=them
are ^vb+ber+vrb++=are
Jewish ^jj+pred+++=Jewish.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look,
, ^zz++++=EXTRAWORD
Howard ^np++++=Howard,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
our ^pp$+pp1+++=our
third ^od++++=third
date ^vb++++=date
and ^cc++++=and
we ^pp1a+pp1+++=we
both ^abx++++=both
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
that ^dt+pdem+++=that
means ^vbz++++=means.
. ^zz++++=EXTRAWORD
Sex ^nn++++=Sex.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
know ^vb+vprv+++=know
whether ^cs+who+++=whether
you ^pp2+pp2+++=you
re ^in++++=re
looking ^nn++++=looking
for ^in++++=for
a ^at++++=a
relationship ^nn+nom+++=relationship
or ^cc++++=or
a ^at++++=a
one ^cd1++++=one-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
stand ^nn++++=stand.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
you ^pp2+pp2+++=you
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
think ^vb+vprv+++=think
about ^in++++=about
it ^pp3+it+++=it
a ^rb++++=a
little ^rb"++++=little.
. ^zz++++=EXTRAWORD
Call ^nn++++=Call
me ^pp1o+pp1+++=me
when ^wrb+who+++=when
you ^pp2+pp2+++=you
figure ^nn++++=figure
it ^pp3+it+++=it
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Hello ^rb+dspt+++=Hello,
, ^zz++++=EXTRAWORD
Howard ^np++++=Howard.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
t ^zz++++=t
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
working ^vwbg+++xvbg+=working.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
this ^dt+dem+++=this
more ^rbr++++=more
comedy ^nn++++=comedy
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
understand ^vb+vprv+++=understand?
? ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
isn ^nn+++??+=isn
t ^zz++++=t
a ^at++++=a
joke ^nn++++=joke?
? ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
you ^pp2+pp2+++=you
re ^in++++=re
insane ^nn++++=insane.
. ^zz++++=EXTRAWORD
Howard ^np++++=Howard,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
ve ^nn+++??+=ve
only ^rb+down+++=only
been ^vprf+ben+vrb+xvbn+=been
on ^in++++=on
three ^cd++++=three
dates ^nns++++=dates.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
haven ^npl++++=haven
t ^zz++++=t
even ^rb++++=even
had ^vb+hv+vrb++=had
sex ^nn++++=sex
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
Wow ^nn++++=Wow.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
thanks ^rb+dspt+++=thanks.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
s ^zz++++=s
okay ^rb+dspt+++=okay.
. ^zz++++=EXTRAWORD
Are ^vb+ber+aux++=Are
you ^pp2+pp2+++=you
kidding ^vbg+++xvbg+=kidding?
? ^zz++++=EXTRAWORD
That ^dt+dem+++=That
