Microbiology ^np+++??+=Microbiology.
s ^zz++++=s
the ^ati++++=the
most ^ql+emph+++=most
romantic ^jj+atrb+++=romantic
thing ^nn++++=thing
anyone ^pn++++=anyone
s ^zz++++=s
ever ^rb++++=ever
done ^vbd+++xvbn+=done
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
have ^vb+hv+vrb++=have
Howard ^np++++=Howard
s ^zz++++=s
street ^npl++++=street
cred ^vbd+++xvbn+=cred.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What?
? ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
not ^xnot++not++=not?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
can ^md+pos+++=can
t ^zz++++=t
sit ^vb++++=sit
somewhere ^rb++++=somewhere
else ^rb+cnj+++=else?
? ^zz++++=EXTRAWORD
Ooh ^uh++++=Ooh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
your ^pp$+pp2+++=your
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
d ^zz++++=d
you ^pp2+pp2+++=you
get ^vb++++=get
them ^pp3o+pp3+++=them?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ve ^nn+++??+=ve
been ^vprf+ben+aux+xvbn+=been
meaning ^vbg+++xvbgx+=meaning
to ^to+vcmp+++=to
go ^vbi++++=go
over ^in++++=over
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Don ^npt++++=Don
t ^zz++++=t
take ^vb++++=take
him ^pp3o+pp3+++=him
too ^rb++++=too
seriously ^rb+cnj+++=seriously,
, ^zz++++=EXTRAWORD
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says
is ^vbz+bez+aux++=is
intended ^vpsv++agls+xvbnx+=intended
as ^ql++++=as
humour ^nn++++=humour.
. ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Me
neither ^rb+cnj+neg++=neither,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
just ^rb+emph+++=just
lights ^vbz++++=lights
up ^rp++++=up
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard,
, ^zz++++=EXTRAWORD
Howard ^np++++=Howard
says ^vbz+vpub+tht0++=says
you ^pp2+pp2+++=you
re ^in++++=re
working ^nn++++=working
on ^in++++=on
fundamental ^jj+atrb+++=fundamental
tests ^nns++++=tests
of ^in++++=of
quantum ^nn++++=quantum
mechanics ^nn++++=mechanics.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it
fascinating ^jj++++=fascinating.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
hadn ^nn+++??+=hadn
t ^zz++++=t
gone ^vbd+++xvbn+=gone
into ^in++++=into
microbiology ^nn+++??+=microbiology,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
probably ^rb++++=probably
would ^md+prd+++=would
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
into ^in++++=into
physics ^nn++++=physics.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
ice ^nn++++=ice
dancing ^vwbg+++xvbg+=dancing.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
amazing ^jj++++=amazing.
. ^zz++++=EXTRAWORD
Are ^vb+ber+aux++=Are
you ^pp2+pp2+++=you
going ^md"++pmd"++=going
to ^md+prd+++=to
try ^vb++++=try
to ^to+vcmp+++=to
set ^vbi++++=set
up ^rb+phrv+++=up
the ^ati++++=the
voltages ^nns+nom+++=voltages
using ^vwbg+++xvbg+=using
tunnel ^nn++++=tunnel
junctions ^nns+nom+++=junctions?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah,
, ^zz++++=EXTRAWORD
show ^nn++++=show
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
In ^in++++=In
microbiology ^nn+++??+=microbiology,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
exciting ^jj+atrb+++=exciting
thing ^nn++++=thing
I ^pp1a+pp1+++=I
get ^vb++++=get
to ^to+vcmp+++=to
work ^vb++++=work
with ^in++++=with
is ^vbz+bez+vrb++=is
yeast ^nn++++=yeast.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
are ^vb+ber+aux++=are
all ^abn++++=all
those ^dt+dem+++=those
people ^nns++++=people?
? ^zz++++=EXTRAWORD
Hi ^uh++++=Hi.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
doesn ^nn+++??+=doesn
t ^zz++++=t
mean ^jj+atrb+++=mean
salt ^jj+atrb+++=salt
mines ^nns++++=mines.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
means ^nns++++=means
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
works ^nns++++=works.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
s ^zz++++=s
your ^pp$+pp2+++=your
experiment ^nn+nom+++=experiment
going ^vwbg+++xvbg+=going?
? ^zz++++=EXTRAWORD
Boy ^nn++++=Boy,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
d ^zz++++=d
love ^vb++++=love
to ^to+vcmp+++=to
see ^vbi+vprv+tht0++=see
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
Really ^rb+emph+++=Really?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
d ^zz++++=d
be ^vb+be+vrb++=be
great ^jj+pred+++=great.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
exciting ^jj++++=exciting
is ^vbz+bez+vrb++=is
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
got ^vbd+++xvbn+=got
me ^pp1o+pp1+++=me
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
isn ^nn+++??+=isn
t ^zz++++=t
non ^&fw++++=non-fat
- ^zz++++=EXTRAWORD
fat ^nn++++=EXTRAWORD
yogurt ^nn+++??+=yogurt,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
fatty ^jj+atrb+++=fatty
fat ^nn++++=fat
fat ^nn++++=fat.
. ^zz++++=EXTRAWORD
Excuse ^nn++++=Excuse
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Sure ^jj++++=Sure.
. ^zz++++=EXTRAWORD
Howard ^np++++=Howard?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
unhooks ^vbz+++??+=unhooks
in ^in++++=in
the ^ati++++=the
front ^nn++++=front.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
I ^pp1a+pp1+++=I
should ^md+nec+++=should
go ^vb++++=go.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
me ^pp1o+pp1+++=me
just ^rb+emph+++=just
put ^vprf+++xvbn+=put
that ^dt+dem+++=that
on ^in++++=on
vibrate ^nn+nom+++=vibrate.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
one ^cd1++++=one
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got.
. ^zz++++=EXTRAWORD
Howard ^np++++=Howard,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
say ^vb+vpub+tht0++=say
something ^pn++++=something
to ^in++++=to
Leonard ^np++++=Leonard
about ^rb++++=about
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
says ^vbz+vpub+++=says
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
go ^vb++++=go
see ^vb+vprv+tht0++=see
his ^pp$+pp3+++=his
experiment ^nn+nom+++=experiment
tomorrow ^nr+tm+++=tomorrow
it ^pp3+it+++=it
might ^md+pos+++=might
weird ^jj++++=weird
you ^pp2+pp2+++=you
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
not ^xnot++not++=not
jealous ^jj++++=jealous
of ^in++++=of
Leonard ^np++++=Leonard,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
saying ^nvbg+++xvbg+=saying
I ^pp1a+pp1+++=I
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
ask ^vb++++=ask
your ^pp$+pp2+++=your
permission ^nn++++=permission
to ^to+ncmp+++=to
hang ^vbi++++=hang
out ^rp+pl+++=out
with ^in++++=with
Leonard ^np++++=Leonard?
? ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard.
. ^zz++++=EXTRAWORD
Am ^vb+bem+vrb++=Am
I ^pp1a+pp1+++=I
too ^ql++++=too
late ^jj++++=late
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
experiment ^nn+nom+++=experiment?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
hi ^uh++++=hi.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing
here ^rn+pl+++=here?
? ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
didn ^nn+++??+=didn
t ^zz++++=t.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
said ^vbd+vpub++xvbn+=said
Leonard ^np++++=Leonard
s ^zz++++=s
experiment ^nn+nom+++=experiment
was ^vbd+bedz+vrb++=was
stupid ^jj+pred+++=stupid.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=should
hear ^vb+vprv+tht0++=hear
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard?
? ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
I ^pp1a+pp1+++=I
give ^vb++++=give
him ^pp3o+pp3+++=him
another ^dt++++=another
chance ^nn++++=chance?
? ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
tushy ^nn+++??+=tushy
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Raj ^np+++??+=Raj,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=should
ve ^vb+++??+=ve
seen ^vbd+vprv++xvbn+=seen
Leonard ^np++++=Leonard
s ^zz++++=s
experiment ^nn+nom+++=experiment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
interference ^nn+nom+++=interference
pattern ^nn++++=pattern
was ^vbd+bedz+aux++=was
so ^ql++++=so
cool ^vb++++=cool
when ^wrb+who+++=when
the ^ati++++=the
electron ^nn++++=electron
beam ^nn++++=beam
was ^vbd+bedz+vrb++=was
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
starved ^vprf+++xvbn+=starved.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
you ^pp2+pp2+++=you
spend ^vb++++=spend
all ^abn++++=all
day ^nn++++=day
in ^in++++=in
a ^at++++=a
bio ^nn+++??+=bio-lab,
- ^zz++++=EXTRAWORD
lab ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
flesh ^nn++++=flesh-eating
- ^zz++++=EXTRAWORD
eating ^nvbg+++xvbg+=EXTRAWORD
bacteria ^nns++++=bacteria
skeletonize ^vb++++=skeletonize
small ^jj+atrb+++=small
rodents ^nns++++=rodents
it ^pp3+it+++=it
really ^rb+emph+++=really
works ^vbz++++=works
up ^rp++++=up
an ^at++++=an
appetite ^nn++++=appetite.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
re ^in++++=re
way ^nn++++=way
past ^jjb++++=past
second ^od++++=second
base ^nn++++=base.
. ^zz++++=EXTRAWORD
Right ^jj++++=Right,
, ^zz++++=EXTRAWORD
Howard ^np++++=Howard?
? ^zz++++=EXTRAWORD
How ^wrb+who+++=How
s ^zz++++=s
your ^pp$+pp2+++=your
work ^nn++++=work
going ^vwbg+++xvbg+=going,
, ^zz++++=EXTRAWORD
Penny ^nn++++=Penny?
? ^zz++++=EXTRAWORD
Any ^dti++++=Any
acting ^jj+atrb++xvbg+=acting
jobs ^nns++++=jobs?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
sliding ^vwbg+++xvbg+=sliding
into ^in++++=into
third ^nn++++=third.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
should ^md+nec+++=should
we ^pp1a+pp1+++=we
talk ^nn++++=talk
about ^in+strn+++=about?
? ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Really ^rb+emph+++=Really
uncomfortable ^jj++++=uncomfortable.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
God ^nn++++=God,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
ever ^rb++++=ever
been ^vprf+ben+vrb+xvbn+=been
so ^ql+emph+++=so
embarrassed ^jj+++xvbn+=embarrassed?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know
which ^whp+who+++=which
was ^vbd+bedz+vrb++=was
lamer ^jjr+pred+++=lamer,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
roller ^nn++++=roller-skating
- ^zz++++=EXTRAWORD
skating ^jj+++xvbg+=EXTRAWORD
or ^cc++++=or
their ^pp$+pp3+++=their
disco ^nn+++??+=disco
dancing ^vwbg+++xvbg+=dancing.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Howard ^np++++=Howard
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
do ^vbi++++=do
the ^ati++++=the
splits ^nns+++??+=splits
With ^in++++=With
marbles ^nns++++=marbles?
? ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
when ^wrb+who+whq++=when
was ^vbd+bedz+aux++=was
the ^ati++++=the
last ^jj+atrb+++=last
time ^nn++++=time
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
any ^dti++++=any
sleep ^nn++++=sleep?
? ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
happens ^vbz+vsua+++=happens
to ^to+vcmp+++=to
our ^pp$+pp1+++=our
neuroreceptors ^nns++++=neuroreceptors
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
don ^npt++++=don
t ^zz++++=t
get ^vb++++=get
enough ^qlp++++=enough
Rem ^np+++??+=REM
sleep ^nn++++=sleep?
? ^zz++++=EXTRAWORD
Which ^whp+who+++=Which
leads ^vbz++++=leads
to ^in+strn+++=to
? ^zz++++=?
Right ^jj++++=Right,
, ^zz++++=EXTRAWORD
so ^ql++++=so
march ^nr++++=march
in ^in++++=in
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
brush ^nn++++=brush
your ^pp$+pp2+++=your
teeth ^nns++++=teeth
and ^cc++++=and
go ^vb++++=go
to ^in++++=to
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
going ^md"++pmd"++=going
to ^md+prd+++=to
count ^vb++++=count
to ^to++++=to
three ^cd++++=three.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
